ID_Venda;Data_Venda;Vendedor;CPF;Cidade;UF;Produto;Categoria;Canal_Venda;Qtd_Vendas;Valor_Vendas;Salario;Meta_Mensal;Percentual_Cumprimento;Cliente;Email_Cliente;Telefone;Data_Cadastro
VENDA-3406;2022-11-11;Ana Lívia da Luz;762.054.981-11;brasília;SP;Relógio;esporte;WhatsApp;2.0;R$23251.33;R$4822.91;23829.4;66.0%;Mariana da Rosa;arthur17@example.org;+55 71 0268 5925;2023-12-26
8017;2011-03-15;Antonella da Paz;14962805398;Fortaleza;SP;Perfume;Automotivo;TELEFONE;34.0;R$44786.12;R$5692.97;;0.73;Mariah Caldeira;esther37@example.org;5016206698;2023-03-11
4118;2023-05-06;Maria Liz Cunha;128.496.075-76;Brasília;PR;Boneca;Eletrônico;Loja;43.0;43151.38;R$7954.88;R$ 71093.47;118.1%;Sr. Vinícius Abreu;catarinaguerra@example.net;9788191948;2022-10-26
5000;17/10/2025;Dr. Enzo Gabriel Pinto;306.728.195-03;Rio de Janeiro;RJ;Notebook;Automotivo;Online;;R$40742.17;R$4453.24;;0.82;Allana da Paz;macedomaria@example.net;+55 51 0707 4819;2024-08-19
VENDA-6375;24/01/2025;Sr. Fernando Pereira;458.607.129-01;Belo Horizonte;mg;Notebook;Roupas;Online;29.0;R$10083.66;7709.55;R$ 62988.43;59.9%;MARCELA;joaquim52@@example.org;84 4936 3329;
VENDA-1302;2006-03-26;;56810749357;Belo Horizonte;PE;TV;Beleza;Telefone ;;R$20232.35;2129.36;34204.48;77.4%;Sr. Gustavo Duarte;udas-neves@example.org;81 4813-0318;2022-06-20
vnd6082;26/01/2025;Diego Alves;647.192.530-16;São Paulo;PR;SOFÁ;móveis;app;10.0;32446.35;R$4353.14;R$ 27812.9;1.01;Oliver Melo;da-pazmaria-sophia@example.com;0500-813-5677;2024-12-17
VENDA-7466;1996-07-26;João Miguel das Neves;657.290.413-06;São Paulo;PE;Camisa;Brinquedos;Online;;R$30187.44;3435.46;R$ 37606.56;50.1%;Thomas Cardoso;isampaio@example.net;+55 (071) 1620-0788;
VENDA-8156;2023-03-13;Nicole Castro;385.204.197-04;Salvador;PR;Perfume;ELETRÔNICO;Loja;7.0;36789.29;4321.56;R$ 44084.82;70.0%;ISABELLY;garcianathan@example.com;8098944615;2021-02-05
VENDA-2775;27/08/2025;Maria Eduarda Rezende;372.406.859-00;Belo Horizonte;rj;TV;Móveis;TELEFONE;11.0;41550.66;6916.11;;64.1%;Srta. Manuela Fogaça;moreiraayla@example.com;21 9977 4442;
VENDA-6023;24/01/2025;Cauã Sales;385.294.671-91;Belo Horizonte;mg;Capacete;Automotivo;LOJA;;44461.37;4068.14;;101.8%;Stephany Pimenta;pedromartins@example.org;+55 41 6879-1716;2024-10-07
VENDA-1905;2022-12-26;Maria Helena Cirino;327.450.918-32;Recife;RJ;Perfume;Eletrônico;Telef0ne;;49787.13;R$4928.4;R$ 20740.62;0.9;Noah da Costa;rochaanthony@@example.com;0900 878 3500;2025-10-05
VENDA-1061;2024-10-27;Sr. Vinicius Oliveira;739.416.852-28;curitiba;CE;Relógio;Beleza;Loja;26.0;R$15121.43;R$3142.15;;68.6%;Srta. Maria Clara Vasconcelos;montenegrogustavo-henrique@example.net;31 7439 3528;
vnd5484;20/08/2025;Dr. Ravy Pereira;758.294.310-41;Salvador;CE;Boneca;Roupas;online;;33827.0;R$1662.35;41362.37;119.4%;Sra. Melina Vieira;joanamelo@example.org;51 2503 5418;2024-12-30
VENDA-7836;1975-04-09;Dr. Liam Souza;261.730.459-07;Salvador;df;Boneca;Automotivo;Online;38.0;R$46363.86;R$2072.63;36771.59;75.1%;Marcelo Cassiano;maria-vitoriavieira@@example.org;(011) 3667-0281;2021-01-21
VENDA-3572;1987-10-11;Antony Pires;35296087186;São Paulo;DF;TV ;Roupas;APP;42.0;3666.61;R$6057.33;43882.66;99.1%;HELOISA;marquesantonio@@example.com;(081) 0466 0570;2022-11-14
vnd1412;2015-03-12;Pietra Nunes;702.954.816-76;Rio de Janeiro;DF;perfume;Automotivo;APP;;R$30402.52;R$3286.34;42956.17;0.61;Giovanna Câmara;pda-conceicao@example.net;+55 71 1735-8857;
vnd9908;2024-01-22;Alexandre Caldeira;579.381.604-66;curitiba;df;boneca;automotivo;WhatsApp;;R$34281.7;R$1892.25;;69.1%;José Miguel Pacheco;lorena18@@example.com;+55 11 8776 5382;2021-09-08
VENDA-9373;2024-02-08;Beatriz Nogueira;738.129.564-46;Rio de Janeiro;DF;Bicicleta;AUTOMOTIVO;telefone;10.0;R$26637.56;5532.57;;1.1;Vitor Hugo da Paz;pcampos@example.net;+55 (071) 4545 2573;2024-02-19
vnd1605;23/10/2025;Rodrigo Farias;06824195758;Curitiba;df;bicicleta;Eletrônico;WhatsApp;;10828.73;R$7586.35;27394.13;102.0%;Mariana Sousa;oliveirajoao-lucas@example.com;+55 (011) 5288 4462;
vnd3072;2025-09-28;;40326517952;São Paulo;DF;Sofá;Automotivo;Online;;13229.55;2669.19;;112.8%;Leonardo Siqueira;macedomaria-luiza@example.org;21 3704-9496;2024-11-19
VENDA-3316;1980-06-11;Nicolas Aragão;532.917.046-06;Brasília;MG;CAMISA;Eletrônico;ONLINE;;R$49613.16;R$4060.69;R$ 37380.92;60.2%;José Miguel Fogaça;das-nevesisis@example.org;+55 31 4320 3420;2023-04-15
vnd1185;2024-05-30;Kevin Castro;732.968.015-02;Fortaleza;rj;Sofá;Eletrônico;WhatsApp;6.0;48982.77;R$5259.22;;0.79;Rebeca Monteiro;antoniosampaio@example.net;6553159582;2025-03-03
VENDA-1717;2023-04-02;Ayla Nunes;568.749.312-37;Rio de Janeiro;df;Relógio;Beleza;APP;;3415.65;3299.09;R$ 68482.32;0.63;Isis Sousa;pereirabeatriz@example.net;+55 31 5034 4200;2024-10-27
vnd6632;1974-09-20;Stella Câmara;706.392.158-40;Salvador;SP;Camisa;roupas;APP;;R$20165.55;R$7232.24;R$ 67044.79;73.5%;Ísis Teixeira;vcamara@@example.com;0900-675-8725;
vnd2181;18/08/2025;Maria da Rosa;78530219414;Belo Horizonte;SP;Perfume;ELETRÔNICO;Online;44.0;R$12587.24;1608.64;R$ 27278.62;0.89;Sra. Gabriela Pastor;arthur-gabriel22@example.com;(041) 2227 3381;
vnd8394;18/04/2025;Dra. Isabella Souza;512.086.374-44;Salvador;SP;bicicleta;Móveis;Online;37.0;7482.64;R$5054.99;R$ 68602.38;51.7%;Cecília Rocha;tnovais@example.org;+55 (031) 1734-3358;2025-02-17
vnd9245;13/06/2025;Ana Beatriz Vasconcelos;260.453.897-00;Recife;PR;TV;ELETRÔNICO;Online;;R$8440.87;R$7294.06;41330.91;1.15;Thiago Duarte;kborges@@example.net;+55 (051) 1460 7959;2024-07-30
3546;15/06/2025;Rael Jesus;246.317.590-70;Brasília;RJ;Relógio;Móveis;LOJA;;R$33297.28;2147.93;53124.09;0.51;Ana Vitória Costela;vcaldeira@example.net;+55 31 2632 6405;2023-07-02
vnd8325;2024-06-13;Dra. Anna Liz Cavalcanti;501.872.469-20;Rio de Janeiro;DF;Bicicleta;Eletrônico;Telefone;2.0;R$41915.33;2428.16;;0.99;Dra. Natália Sales;tcastro@example.org;61 4871-3448;
9427;2024-09-13;Sr. Davi Lucca Fernandes;103.576.492-06;Recife;PR;Perfume;Eletrônico;APP;;36713.55;R$4267.59;44849.51;104.0%;Gabrielly Cassiano;jose-pedrosantos@example.org;+55 51 5088 0501;
9115;1974-11-17;Dr. Calebe Dias;39428501760;Fortaleza;DF;Perfume;Esporte;APP;25.0;17750.79;R$7316.47;;0.85;Dr. Murilo Abreu;carolineramos@example.net;8330772211;2024-08-16
VENDA-5572;2025-08-03;;382.517.906-03;Belo Horizonte;MG;Relógio;Móveis;loja;9.0;10435.18;7744.53;R$ 27429.34;1.13;Sr. Isaac Siqueira;maria-claraduarte@example.org;+55 41 2558 4006;2021-07-29
8912;2024-08-24;Ana Laura Alves;269.408.531-89;Recife;PE;TV;Beleza;Online;;1950.12;3431.8;R$ 30133.37;0.59;Ravy Cavalcante;manuelateixeira@example.com;11 5336-6874;2025-06-22
VENDA-9564;05/01/2025;Luan Ribeiro;836.957.120-40;recife;sp;Bicicleta;Roupas;Online ;;15550.44;7365.3;;93.6%;Bianca Pastor;brayan96@example.org;+55 (011) 9641 7388;
4634;2006-07-14;Maria Luiza Silva;645.230.971-43;São Paulo;df;TV;Beleza;TELEFONE;;R$15851.44;R$2826.06;23787.48;83.9%;Natália da Luz;hcunha@example.com;11 9538 3530;2025-05-23
3417;2024-11-01;Luigi Pinto;647.983.052-00;Salvador;CE;Sofá;R0up@s;Loja;5.0;R$28661.94;4317.25;49047.52;87.5%;Julia Araújo;joao82@example.net;3125991842;2022-08-27
VENDA-2014;2023-09-20;Emilly Melo;83410562915;Brasília;RJ;Relógio;Brinquedos;loja;;30229.0;1986.46;;0.62;JOANA;fariasana-sophia@example.org;7077404975;2025-06-27
VENDA-8525;2003-10-12;Anthony Gonçalves;564.293.180-60;Belo Horizonte;rj;Capacete;móveis;Loja;7.0;R$20271.59;7173.05;R$ 50490.3;0.69;Carolina Caldeira;novaisnina@example.com;6338819974;2025-05-29
vnd6879;28/09/2025;Nina da Cunha;489.167.205-67;fortaleza;DF;Camisa;BRINQUEDOS;WhatsApp;;R$10813.94;R$2692.15;35129.38;118.3%;Oliver Abreu;julia97@example.org;84 6982-2333;
7257;28/01/2025;Breno da Rosa;301.468.725-17;Recife;MG;Sofá;ELETRÔNICO;APP;49.0;R$48909.42;R$7934.24;64535.31;116.9%;Valentina Freitas;oliveiravicente@example.org;0300-800-0918;2023-12-06
VENDA-7963;2024-09-09;Ana Lívia Vasconcelos;243.157.806-26;Belo Horizonte;CE;Boneca;Automotivo;Telefone;;34529.6;5670.94;49172.9;1.05;Brenda Almeida;xribeiro@example.org;7599589239;2022-09-22
VENDA-9784;1982-06-18;Bryan Silva;05149628360;recife;RJ;Bicicleta;Automotivo;telefone;;8067.37;7209.69;;0.95;Arthur Gabriel Lima;raul32@example.com;5568268946;
7311;1973-12-30;Maria Cecília Souza;297.843.601-87;Brasília;SP;Sofá;Roupas;WhatsApp;;R$16363.62;R$4692.25;R$ 21663.83;0.96;Ana Liz da Rocha;raquel97@example.org;81 1052-1624;
VENDA-8429;24/09/2025;Ravy da Mata;219.384.507-79;Fortaleza;PE;Sofá;Automotivo;WhatsApp;19.0;R$46095.78;6244.74;54843.57;104.9%;Francisco Castro;maria-alicecampos@example.org;+55 (081) 0251-9122;2023-05-21
VENDA-3856;1982-06-27;Isis Pereira;46758092194;curitiba;ba;Bicicleta;Brinquedos;APP;;22936.69;3365.89;R$ 54286.56;72.0%;Olivia Gonçalves;ecamargo@example.net;(041) 1875 2027;2020-08-28
vnd5064;2022-12-23;Gabrielly Almeida;295.106.348-24;São Paulo;DF;BICICLETA;Beleza;APP;;23128.72;R$3487.91;;109.1%;Nicole Borges;fariasdavi-miguel@example.org;11 3393-7109;2023-10-13
vnd4756;2008-12-17;Mariana Lopes;839.270.654-47;Curitiba;sp;RELÓGIO;beleza;Online;;R$34496.23;7388.79;R$ 55319.38;54.7%;Eloah Moraes;montenegroana-carolina@example.org;61 3787-6425;2021-09-16
6919;11/08/2025;Ravi Lucca Borges;764.315.809-66;curitiba;df;Boneca;Beleza;WhatsApp;6.0;39086.42;5666.7;;72.3%;Lucca Caldeira;isabellynunes@example.com;11 3996-0299;2023-11-02
1315;1990-10-27;Yago Farias;35149072850;São Paulo;MG;Relógio;Beleza;TELEFONE;45.0;40215.16;R$7389.16;R$ 35819.27;1.13;Manuela Rezende;manuellarezende@example.com;+55 (071) 7646 7022;2023-05-24
vnd2377;27/03/2025;Sr. José Ribeiro;528.190.364-06;Recife;PE;PERFUME;Brinquedos;APP;48.0;27054.89;R$2657.74;;115.0%;Pietra da Costa;ccosta@example.com;(061) 1852-8595;2023-03-14
VENDA-9893;1983-08-20;Sra. Nina das Neves;98743016510;Recife;CE;BICICLETA;móveis;WhatsApp;40.0;R$36935.64;5007.27;R$ 66556.11;95.2%;Theo Cunha;da-conceicaovitoria@example.com;+55 (031) 4346 5147;2025-05-23
VENDA-1051;2024-02-19;Isabelly das Neves;057.193.864-75;Brasília;RJ;CAPACETE;Eletrônico;TELEFONE;40.0;R$38533.78;R$3264.46;R$ 35870.35;1.17;Hellena da Mota;kevinnovaes@example.org;0900 402 7490;
vnd7117;2023-07-23;Sr. Fernando da Costa;259.108.673-77;Belo Horizonte;PR;Boneca;Móveis;Online;;R$39577.01;R$7661.13;;0.64;Joana Melo;nicolas73@@example.net;0300-717-9361;
vnd4474;25/04/2025;Vitória Casa Grande;50689234198;Salvador;SP;Sofá;ESPORTE;APP;;32966.71;R$3469.2;;116.7%;Dante Peixoto;ravy38@example.org;6521407159;2025-04-06
VENDA-1162;2022-11-28;Marcos Vinicius Machado;850.193.624-33;Recife;CE;Camisa;Roupas;Online;;R$33098.41;1596.28;;0.76;Dr. Henrique Macedo;gabrielly35@example.com;0900-886-0744;
VENDA-7536;1994-09-05;Sr. Lucca Costela;47920651352;Recife;SP;Capacete;esporte;app;27.0;26168.8;5243.24;;100.7%;Maria Cecília Moraes;hellena29@example.net;+55 81 7475-1731;
7625;2002-06-19;Ana Beatriz da Luz;596.718.304-39;Brasília;mg;PERFUME;Beleza;telefone;;40060.39;6455.4;R$ 50721.63;1.08;Pietra Pinto;mouraemanuel@@example.org;(011) 6313 0043;2024-12-29
VENDA-2353;2023-12-23;Maria Luiza Gomes;34590168251;Belo Horizonte;RJ;Boneca;Beleza;Loja;;36583.14;5169.44;;86.3%;Emilly Brito;luiz-gustavo49@example.org;+55 (081) 4512-2245;2024-02-11
vnd1163;1994-02-17;Eduardo Abreu;758.936.410-00;Belo Horizonte;RJ;Capacete;Eletrônico;APP;;24270.39;R$2407.22;31338.71;75.0%;Caleb Costela;ramoscatarina@example.net;+55 (051) 9678-8609;2024-04-23
2925;31/05/2025;Luna Andrade;240.851.739-79;Brasília;PR;CAMISA;ROUPAS;TELEFONE;10.0;R$9638.66;7310.42;R$ 29438.26;0.58;Carolina Sales;ralbuquerque@@example.net;(061) 4628-1378;
vnd5885;1989-07-20;Sr. Lucas Gabriel Sá;167.893.205-12;Curitiba;SP;CAPACETE;Móveis;WhatsApp;50.0;R$24430.61;1968.42;24638.01;1.16;Olívia Monteiro;ojesus@example.net;51 4697 8458;
VENDA-3809;12/03/2025;Pietro Costa;462.578.139-64;Rio de Janeiro;SP;Sofá;Móveis;Online;;R$33605.91;R$3975.51;;110.0%;Beatriz Sá;augustopacheco@example.org;+55 11 4026 6863;2023-04-03
VENDA-3441;2024-03-05;Gael Carvalho;426.897.031-22;Salvador;BA;Notebook;brinquedos;whatsapp;27.0;32337.2;3831.91;R$ 30579.28;1.08;Caleb Montenegro;barbosahadassa@example.com;+55 41 0845-4146;2020-05-16
VENDA-4681;01/05/2025;Luara Melo;706.293.851-30;Recife;MG;Capacete;MÓVEIS;WHATSAPP;42.0;R$5012.91;R$2772.63;;79.2%;Júlia Carvalho;wda-costa@example.com;+55 (051) 6966 7438;2022-01-10
5104;2023-07-20;Pietra da Mata;18453296006;Belo Horizonte;DF;Relógio;automotivo;Online;19.0;R$41079.43;4712.6;R$ 41165.09;97.8%;Srta. Heloisa Rodrigues;yasminpastor@example.org;+55 (084) 7673 6373;2020-04-21
vnd1792;12/10/2025;Mathias Santos;250.138.649-33;curitiba;PR;bicicleta;Brinquedos;Telefone;32.0;42286.74;7605.51;;0.57;Sra. Hadassa Costa;caldeiraluiz-felipe@example.net;+55 (061) 8048-5076;2023-06-22
VENDA-8150;06/03/2025;Srta. Beatriz Rocha;716.325.480-62;Fortaleza;PE;Bicicleta;Beleza;WhatsApp;;R$36476.31;R$5639.03;;119.0%;Carolina Moura;isaac97@example.com;9133068261;2023-06-19
7493;2023-11-25;Otto Melo;387.256.094-83;Curitiba;sp;relógio;Beleza;APP;50.0;47302.24;4604.29;R$ 51313.98;76.7%;Mathias Garcia;isaque31@example.org;+55 31 1772 4907;
vnd3450;2009-01-08;Sra. Luara Moreira;168.059.723-02;Rio de Janeiro;rj;Perfume;Automotivo;Loja;19.0;28680.9;3952.94;R$ 50541.78;94.7%;MARIA CECÍLIA;ravi-lucca03@example.org;5075090536;2020-08-15
VENDA-5412;2023-11-03;Luiz Otávio Barros;574.306.921-25;Belo Horizonte;PE;TV;BRINQUEDOS;Loja;47.0;15608.14;5428.11;;0.57;Dr. Pedro Miguel Pimenta;brenosouza@example.net;31 7535-2737;2023-08-27
3036;2024-07-28;Murilo Casa Grande;507.219.843-04;Fortaleza;CE;perfume;Automotivo;app;25.0;R$6725.41;R$7828.77;R$ 26909.56;0.71;Gustavo Henrique Moura;salesheloisa@example.net;(061) 3242-9468;
VENDA-1714;2024-10-26;Oliver da Cruz;276.453.801-44;Salvador;SP;Notebook;Eletrônico;WhatsApp;;370.96;3861.2;;1.13;AMANDA;maria-vitoriacavalcanti@example.net;+55 51 4229 7721;2020-12-26
3103;2022-08-31;Rafael Siqueira;85162437026;Fortaleza;BA;TV;brinquedos;WhatsApp;21.0;R$4329.02;R$5206.99;R$ 47398.51;112.4%;Maysa Cavalcante;cda-rosa@example.com;0500-960-1860;
vnd2947;14/09/2025;Isabela da Luz;257.314.608-17;Brasília;DF;TV;Eletrônico;APP;;14480.11;R$5801.26;31394.51;0.77;CAROLINA;matteo37@@example.org;+55 61 7073 4898;
4452;2024-08-15;Murilo Macedo;205.743.698-56;salvador;RJ;Sofá;Automotivo;Online;;20904.19;R$7687.83;40098.08;0.68;Maysa Carvalho;laisferreira@example.net;51 9472 7728;2023-10-31
VENDA-9087;09/06/2025;Dom Silveira;39175240661;Belo Horizonte;DF;relógio;AUTOMOTIVO;Telefone;;33595.89;R$3373.69;;54.8%;Arthur Gabriel da Cruz;otavio76@example.com;+55 11 1104-0440;2024-12-21
