id;nome;email;senha;telefone;ativo;criado_em
75;Clara Leão;dmoraes@example.net;BacX3P2c!3H0;51 95248-2618;False;2024-11-07 20:29:30
76;Isadora Camargo;vianastephany@example.com;NXwRR+#m!7Ij;43 97523-0757;False;2026-03-24 14:49:13
77;Sra. Maria Isis Alves;liviacostela@example.net;_@d33w+EkNkT;28 90110-8617;True;2026-03-29 21:57:52
78;Raul Moura;henrymonteiro@example.org;$Hu9&On)JE1i;83 99730-1611;True;2025-05-18 23:28:37
79;Marcela Aparecida;maria-sophia25@example.org;#3Ajou+NmO_$;38 92563-2315;True;2024-09-25 13:18:31
80;Catarina Carvalho;limajoao@example.net;db(ZZ6hg(9iv;+55 86 93244-4155;False;2025-11-24 13:46:43
81;Paulo Melo;saralopes@example.net;!pN4UZfu+dCs;+55 94 90151-5296;False;2025-08-15 14:26:11
82;Maitê Almeida;arthur-miguel43@example.net;^uqVyyJkL^4r;+55 62 90463-2019;True;2026-03-01 21:26:17
83;Ana Beatriz Fogaça;luiz-fernando15@example.com;M*iIPBv7CLk7;+55 48 91141-7870;False;2025-10-05 11:17:24
84;Ana Liz Almeida;eazevedo@example.com;W^6WvfPndF3V;55 96047-6526;False;2025-07-21 17:43:24
85;João Vitor Gonçalves;falmeida@example.net;nfUQo3jxF2%^;12 99519-5110;False;2026-02-07 18:20:14
86;Maria Fernanda Caldeira;pedro-lucas19@example.net;C528RuLtk1@N;+55 37 97955-2747;False;2025-12-09 11:48:10
87;Melina da Rocha;casa-grandeheloisa@example.org;&15GTak8SZ24;32 95145-9464;True;2025-01-17 17:30:51
88;Sra. Júlia da Cunha;andradeleandro@example.net;1C2YjlwZnC6*;28 95194-6803;True;2025-11-09 14:45:39
89;João Aparecida;moreiraluna@example.com;N*AVy1Wy%l#0;+55 16 92107-8467;True;2025-07-21 12:41:12
90;Dr. João Vitor Porto;apollo55@example.com;4WF55MXo5!n9;+55 48 91825-0388;True;2024-09-23 12:42:39
91;Sr. Heitor Casa Grande;kcavalcanti@example.com;^kS2bzLtzYtY;+55 65 90843-5085;False;2026-01-04 10:11:26
92;Heloisa Cirino;vasconcelosagatha@example.com;2CoLjuYh%nYT;41 95237-3195;True;2026-04-07 17:08:36
93;Gabriel Santos;emanuellasampaio@example.net;bpC02bfD&g2t;+55 21 90747-6101;False;2025-05-05 15:02:22
94;Sofia Duarte;juangoncalves@example.net;k_Wzsx$&B9$z;84 92802-8850;True;2026-03-28 01:49:58
95;João Pires;qcasa-grande@example.net;_26Dvi4l1@va;48 93669-7305;False;2025-02-01 16:08:02
96;Melina Garcia;costelaayla@example.com;^wguhBxe)HL2;+55 28 90516-0740;False;2025-06-16 00:32:53
97;Apollo Silveira;augustocarvalho@example.org;%3WHB0mp2mC@;89 97003-9628;True;2024-12-28 12:09:45
98;Maria Sophia Machado;das-nevesbryan@example.org;Wu%q_NmgW0X4;91 93704-0220;True;2026-01-14 07:56:18
99;Sr. Matteo Cassiano;aylabarbosa@example.net;)Gm7ZH1j(K1I;37 92183-5620;False;2025-03-10 21:23:55
100;Marcelo Correia;leaoheloisa@example.org;_T1MLuNrJVHh;96 95564-8515;False;2025-07-03 09:01:51
