;ID_Venda;Data_Venda;Vendedor;CPF;Cidade;UF;Produto;Categoria;Canal_Venda;Qtd_Vendas;Valor_Vendas;Salario;Meta_Mensal;Percentual_Cumprimento;Cliente;Email_Cliente;Telefone;Data_Cadastro
17;vnd_1729;1992-02-24;Elisa Araújo;95142863089;São Paulo;MG;CAPACETE;ESPORTE;TELEFONE;;44258.17;4418.07;40423.64;119.4;Otávio Sousa;santosnoah@example.org;+55 8100065596;2024-02-27
18;vnd_7696;2025-03-03;Ana Laura Fonseca;51794026894;Brasília;MG;SOFÁ ;AUTOMOTIVO;WHATSAPP;;48090.36;4781.81;43159.57;1.13;Dante Rios;diasluan@example.net;+55 7104889305;2023-09-04
19;vnd_1619;2025-01-30;Isabel Santos;09132546815;Salvador;CE;BONECA;ESPORTE;TELEFONE;;45968.1;2284.07;54820.67;57.5;Gabrielly Nogueira;sara95@example.com;+55 03009046013;2022-11-16
20;vnd_2385;2025-05-29;Luna Araújo;40791532879;Recife;MG;RELÓGIO;BRINQUED0S;TELEFONE;17;10846.78;5394.22;26330.77;100.3;Davi Martins;maria-julia71@example.org;+55 8470003814;
21;vnd_5644;2024-08-03;Rael Rodrigues;39672045883;Belo Horizonte;SP;BONECA;AUTOMOTIVO;LOJA;42;44728.31;6530.34;;87.0;Antonella Fogaça;qmoraes@example.net;+55 3132071323;2023-04-24
22;vnd_4246;2024-01-28;Emilly Correia;57840269338;Curitiba;RJ;CAMISA;BELEZA;APP;;8106.53;4035.35;69989.81;78.0;Calebe Da Cruz;diogomontenegro@example.org;+55 2188530419;2020-01-19
23;vnd_4395;2025-01-15;Maria Laura Freitas;83462795155;São Paulo;SP;BICICLETA;ROUPAS;ONLINE;49;33439.55;5805.6;51174.13;0.6;Manuella Sá;alana93@example.org;+55 4161921720;2024-04-05
24;vnd_7861;2025-09-13;Emanuelly Rios;14539260898;Recife;BA;BICICLET@;MÓVEIS;ONLINE;43;11253.54;6258.86;46371.24;1.17;Nicole Brito;antonellamoura@example.com;+55 3113057468;2021-06-06
25;vnd_1363;2024-08-10;João Lucas Ferreira;25087614949;Recife;SP;BICICLETA ;BRINQUEDOS;WHATSAPP;;38671.68;2450.89;77585.93;85.6;Davi Jesus;ana-liviacavalcante@example.com;+55 3102606020;2023-02-16
26;vnd_1828;1973-09-08;;39208516768;Fortaleza;CE;NOTEBOOK;BELEZA;LOJA;24;14065.77;3282.57;66164.4;0.6;Dante Cardoso;joaopacheco@example.org;+55 2111163199;2022-01-16
27;vnd_7820;2025-01-15;Antônio Casa Grande;80749362529;Belo Horizonte;DF;CAMISA;AUTOMOTIVO;TELEFONE;;29151.37;3253.09;;0.95;Laura Pereira;ana-juliamonteiro@example.com;+55 8413479975;2024-07-14
28;vnd_8235;2024-02-06;Brayan Da Luz;34257190841;Recife;RJ;NOTEBOOK;MÓVEIS;APP;;7250.53;6079.51;;80.5;Lunna Peixoto;barbosaluna@example.net;+55 8451247388;
29;vnd_5222;2023-07-22;Alice Sampaio;90753862492;Recife;DF;BICICLETA;ROUPAS;TELEF0NE;;3340.48;5237.96;;57.6;Mariah Dias;camaravitor-hugo@example.com;+55 918005376;2022-07-09
30;vnd_6849;2025-06-23;Elisa Gonçalves;63590187484;São Paulo;PE;BICICLETA;BRINQUEDOS;WHATSAPP;;1541.53;7276.98;;0.89;Joaquim Leão;heloisanovais@example.net;+55 3198558243;
31;vnd_5319;2025-03-11;Enzo Ribeiro;60432957170;Brasília;PR;NOTEBOOK;ESPORTE;LOJA;31;30194.0;4653.25;70719.71;53.5;Luiz Felipe;ravyvieira@example.org;+55 2162017998;2025-08-07
32;vnd_7716;2025-10-13;Lucas Gabriel Viana;53421678928;Recife;MG;SOFÁ;AUTOMOTIVO;LOJA;36;23963.64;3571.17;79397.21;96.4;Luigi Teixeira;alexandrefreitas@example.org;+55 6105902924;2024-07-10
33;vnd_7974;1974-04-05;Alexia Castro;85927431682;Salvador;BA;BONECA;BRINQUEDOS;TELEFONE;;1078.54;7232.8;38473.31;0.86;Maria Cecília Das Neves;azevedoana-clara@example.org;+55 4301383033;
34;vnd_6439;2023-07-02;Théo Almeida;54829376155;Fortaleza;MG;CAMISA;AUTOMOTIVO ;TELEFONE;;19075.48;4851.83;;0.61;Alice Borges;rochamaria-sophia@@example.net;+55 5176082374;2024-09-25
35;vnd_1836;2024-11-22;Larissa Sousa;92168547319;Brasília;SP;BONECA;ELETRÔNICO;ONLINE;42;47703.46;7292.65;;0.85;Davi Moraes;eduardabrito@@example.net;+55 4116575242;2021-02-06
36;vnd_6711;2025-09-02;Henrique Barros;73196254828;Fortaleza;MG;RELÓGIO;BELEZA;TELEFONE;;29750.57;6541.98;;0.96;Felipe Vieira;aragaomaria-helena@example.com;+55 3163031777;2024-05-09
37;vnd_2292;2007-12-30;Nicolas Aparecida;84236105780;São Paulo;SP;CAPACETE;AUTOMOTIVO;APP;32;4123.57;7656.08;38729.51;66.4;Lívia Leão;zda-luz@example.org;+55 03006729172;
38;vnd_4455;2022-06-08;Eduarda Barros;48910572388;Brasília;RJ;CAPACETE;ELETRÔNICO ;ONLINE;50;33744.91;6456.14;36147.56;1.02;Maria Laura Barros;luara43@example.org;+55 8165955974;2023-02-24
39;vnd_7538;2025-07-11;Maitê Freitas;17546280362;Recife;PE;BONECA;BRINQUEDOS;WHATSAPP;6;27774.16;5161.13;55837.08;118.2;Kaique Lopes;mouraenzo-gabriel@example.org;+55 2172566986;2025-02-02
40;vnd_7598;2025-03-20;Heitor Ramos;13687952428;Brasília;RJ;CAMISA;AUTOMOTIVO;WHATSAPP;;26382.34;1930.27;;0.72;Stephany Nogueira;catarina51@example.org;+55 6136531888;2020-03-26
41;vnd_3406;2022-11-11;Ana Lívia Da Luz;76205498111;Brasília;SP;RELÓGIO;ESPORTE;WHATSAPP;2;23251.33;4822.91;23829.4;66.0;Mariana Da Rosa;arthur17@example.org;+55 7102685925;2023-12-26
42;vnd_8017;2011-03-15;Antonella Da Paz;14962805398;Fortaleza;SP;PERFUME;AUTOMOTIVO;TELEFONE;34;44786.12;5692.97;;0.73;Mariah Caldeira;esther37@example.org;+55 5016206698;2023-03-11
43;vnd_4118;2023-05-06;Maria Liz Cunha;12849607576;Brasília;PR;BONECA;ELETRÔNICO;LOJA;43;43151.38;7954.88;71093.47;118.1;Vinícius Abreu;catarinaguerra@example.net;+55 9788191948;2022-10-26
44;vnd_5000;2025-10-17;Enzo Gabriel Pinto;30672819503;Rio De Janeiro;RJ;NOTEBOOK;AUTOMOTIVO;ONLINE;;40742.17;4453.24;;0.82;Allana Da Paz;macedomaria@example.net;+55 5107074819;2024-08-19
45;vnd_6375;2025-01-24;Fernando Pereira;45860712901;Belo Horizonte;MG;NOTEBOOK;ROUPAS;ONLINE;29;10083.66;7709.55;62988.43;59.9;Marcela;joaquim52@@example.org;+55 8449363329;
46;vnd_1302;2006-03-26;;56810749357;Belo Horizonte;PE;TV;BELEZA;TELEFONE ;;20232.35;2129.36;34204.48;77.4;Gustavo Duarte;udas-neves@example.org;+55 8148130318;2022-06-20
47;vnd_6082;2025-01-26;Diego Alves;64719253016;São Paulo;PR;SOFÁ;MÓVEIS;APP;10;32446.35;4353.14;27812.9;1.01;Oliver Melo;da-pazmaria-sophia@example.com;+55 05008135677;2024-12-17
48;vnd_7466;1996-07-26;João Miguel Das Neves;65729041306;São Paulo;PE;CAMISA;BRINQUEDOS;ONLINE;;30187.44;3435.46;37606.56;50.1;Thomas Cardoso;isampaio@example.net;+55 7116200788;
49;vnd_8156;2023-03-13;Nicole Castro;38520419704;Salvador;PR;PERFUME;ELETRÔNICO;LOJA;7;36789.29;4321.56;44084.82;70.0;Isabelly;garcianathan@example.com;+55 8098944615;2021-02-05
50;vnd_2775;2025-08-27;Maria Eduarda Rezende;37240685900;Belo Horizonte;RJ;TV;MÓVEIS;TELEFONE;11;41550.66;6916.11;;64.1;Manuela Fogaça;moreiraayla@example.com;+55 2199774442;
51;vnd_6023;2025-01-24;Cauã Sales;38529467191;Belo Horizonte;MG;CAPACETE;AUTOMOTIVO;LOJA;;44461.37;4068.14;;101.8;Stephany Pimenta;pedromartins@example.org;+55 4168791716;2024-10-07
52;vnd_1905;2022-12-26;Maria Helena Cirino;32745091832;Recife;RJ;PERFUME;ELETRÔNICO;TELEF0NE;;49787.13;4928.4;20740.62;0.9;Noah Da Costa;rochaanthony@@example.com;+55 09008783500;2025-10-05
53;vnd_1061;2024-10-27;Vinicius Oliveira;73941685228;Curitiba;CE;RELÓGIO;BELEZA;LOJA;26;15121.43;3142.15;;68.6;Maria Clara Vasconcelos;montenegrogustavo-henrique@example.net;+55 3174393528;
54;vnd_5484;2025-08-20;Ravy Pereira;75829431041;Salvador;CE;BONECA;ROUPAS;ONLINE;;33827.0;1662.35;41362.37;119.4;Melina Vieira;joanamelo@example.org;+55 5125035418;2024-12-30
55;vnd_7836;1975-04-09;Liam Souza;26173045907;Salvador;DF;BONECA;AUTOMOTIVO;ONLINE;38;46363.86;2072.63;36771.59;75.1;Marcelo Cassiano;maria-vitoriavieira@@example.org;+55 1136670281;2021-01-21
56;vnd_3572;1987-10-11;Antony Pires;35296087186;São Paulo;DF;TV ;ROUPAS;APP;42;3666.61;6057.33;43882.66;99.1;Heloisa;marquesantonio@@example.com;+55 8104660570;2022-11-14
57;vnd_1412;2015-03-12;Pietra Nunes;70295481676;Rio De Janeiro;DF;PERFUME;AUTOMOTIVO;APP;;30402.52;3286.34;42956.17;0.61;Giovanna Câmara;pda-conceicao@example.net;+55 7117358857;
58;vnd_9908;2024-01-22;Alexandre Caldeira;57938160466;Curitiba;DF;BONECA;AUTOMOTIVO;WHATSAPP;;34281.7;1892.25;;69.1;José Miguel Pacheco;lorena18@@example.com;+55 1187765382;2021-09-08
59;vnd_9373;2024-02-08;Beatriz Nogueira;73812956446;Rio De Janeiro;DF;BICICLETA;AUTOMOTIVO;TELEFONE;10;26637.56;5532.57;;1.1;Vitor Hugo Da Paz;pcampos@example.net;+55 7145452573;2024-02-19
60;vnd_1605;2025-10-23;Rodrigo Farias;06824195758;Curitiba;DF;BICICLETA;ELETRÔNICO;WHATSAPP;;10828.73;7586.35;27394.13;102.0;Mariana Sousa;oliveirajoao-lucas@example.com;+55 1152884462;
61;vnd_3072;2025-09-28;;40326517952;São Paulo;DF;SOFÁ;AUTOMOTIVO;ONLINE;;13229.55;2669.19;;112.8;Leonardo Siqueira;macedomaria-luiza@example.org;+55 2137049496;2024-11-19
62;vnd_3316;1980-06-11;Nicolas Aragão;53291704606;Brasília;MG;CAMISA;ELETRÔNICO;ONLINE;;49613.16;4060.69;37380.92;60.2;José Miguel Fogaça;das-nevesisis@example.org;+55 3143203420;2023-04-15
63;vnd_1185;2024-05-30;Kevin Castro;73296801502;Fortaleza;RJ;SOFÁ;ELETRÔNICO;WHATSAPP;6;48982.77;5259.22;;0.79;Rebeca Monteiro;antoniosampaio@example.net;+55 6553159582;2025-03-03
64;vnd_1717;2023-04-02;Ayla Nunes;56874931237;Rio De Janeiro;DF;RELÓGIO;BELEZA;APP;;3415.65;3299.09;68482.32;0.63;Isis Sousa;pereirabeatriz@example.net;+55 3150344200;2024-10-27
65;vnd_6632;1974-09-20;Stella Câmara;70639215840;Salvador;SP;CAMISA;ROUPAS;APP;;20165.55;7232.24;67044.79;73.5;Ísis Teixeira;vcamara@@example.com;+55 09006758725;
66;vnd_2181;2025-08-18;Maria Da Rosa;78530219414;Belo Horizonte;SP;PERFUME;ELETRÔNICO;ONLINE;44;12587.24;1608.64;27278.62;0.89;Gabriela Pastor;arthur-gabriel22@example.com;+55 4122273381;
67;vnd_8394;2025-04-18;Isabella Souza;51208637444;Salvador;SP;BICICLETA;MÓVEIS;ONLINE;37;7482.64;5054.99;68602.38;51.7;Cecília Rocha;tnovais@example.org;+55 3117343358;2025-02-17
68;vnd_9245;2025-06-13;Ana Beatriz Vasconcelos;26045389700;Recife;PR;TV;ELETRÔNICO;ONLINE;;8440.87;7294.06;41330.91;1.15;Thiago Duarte;kborges@@example.net;+55 5114607959;2024-07-30
69;vnd_3546;2025-06-15;Rael Jesus;24631759070;Brasília;RJ;RELÓGIO;MÓVEIS;LOJA;;33297.28;2147.93;53124.09;0.51;Ana Vitória Costela;vcaldeira@example.net;+55 3126326405;2023-07-02
70;vnd_8325;2024-06-13;Anna Liz Cavalcanti;50187246920;Rio De Janeiro;DF;BICICLETA;ELETRÔNICO;TELEFONE;2;41915.33;2428.16;;0.99;Natália Sales;tcastro@example.org;+55 6148713448;
71;vnd_9427;2024-09-13;Davi Lucca Fernandes;10357649206;Recife;PR;PERFUME;ELETRÔNICO;APP;;36713.55;4267.59;44849.51;104.0;Gabrielly Cassiano;jose-pedrosantos@example.org;+55 5150880501;
72;vnd_9115;1974-11-17;Calebe Dias;39428501760;Fortaleza;DF;PERFUME;ESPORTE;APP;25;17750.79;7316.47;;0.85;Murilo Abreu;carolineramos@example.net;+55 8330772211;2024-08-16
73;vnd_5572;2025-08-03;;38251790603;Belo Horizonte;MG;RELÓGIO;MÓVEIS;LOJA;9;10435.18;7744.53;27429.34;1.13;Isaac Siqueira;maria-claraduarte@example.org;+55 4125584006;2021-07-29
74;vnd_8912;2024-08-24;Ana Laura Alves;26940853189;Recife;PE;TV;BELEZA;ONLINE;;1950.12;3431.8;30133.37;0.59;Ravy Cavalcante;manuelateixeira@example.com;+55 1153366874;2025-06-22
75;vnd_9564;2025-01-05;Luan Ribeiro;83695712040;Recife;SP;BICICLETA;ROUPAS;ONLINE ;;15550.44;7365.3;;93.6;Bianca Pastor;brayan96@example.org;+55 1196417388;
76;vnd_4634;2006-07-14;Maria Luiza Silva;64523097143;São Paulo;DF;TV;BELEZA;TELEFONE;;15851.44;2826.06;23787.48;83.9;Natália Da Luz;hcunha@example.com;+55 1195383530;2025-05-23
77;vnd_3417;2024-11-01;Luigi Pinto;64798305200;Salvador;CE;SOFÁ;R0UP@S;LOJA;5;28661.94;4317.25;49047.52;87.5;Julia Araújo;joao82@example.net;+55 3125991842;2022-08-27
78;vnd_2014;2023-09-20;Emilly Melo;83410562915;Brasília;RJ;RELÓGIO;BRINQUEDOS;LOJA;;30229.0;1986.46;;0.62;Joana;fariasana-sophia@example.org;+55 7077404975;2025-06-27
79;vnd_8525;2003-10-12;Anthony Gonçalves;56429318060;Belo Horizonte;RJ;CAPACETE;MÓVEIS;LOJA;7;20271.59;7173.05;50490.3;0.69;Carolina Caldeira;novaisnina@example.com;+55 6338819974;2025-05-29
80;vnd_6879;2025-09-28;Nina Da Cunha;48916720567;Fortaleza;DF;CAMISA;BRINQUEDOS;WHATSAPP;;10813.94;2692.15;35129.38;118.3;Oliver Abreu;julia97@example.org;+55 8469822333;
81;vnd_7257;2025-01-28;Breno Da Rosa;30146872517;Recife;MG;SOFÁ;ELETRÔNICO;APP;49;48909.42;7934.24;64535.31;116.9;Valentina Freitas;oliveiravicente@example.org;+55 03008000918;2023-12-06
82;vnd_7963;2024-09-09;Ana Lívia Vasconcelos;24315780626;Belo Horizonte;CE;BONECA;AUTOMOTIVO;TELEFONE;;34529.6;5670.94;49172.9;1.05;Brenda Almeida;xribeiro@example.org;+55 7599589239;2022-09-22
83;vnd_9784;1982-06-18;Bryan Silva;05149628360;Recife;RJ;BICICLETA;AUTOMOTIVO;TELEFONE;;8067.37;7209.69;;0.95;Arthur Gabriel Lima;raul32@example.com;+55 5568268946;
84;vnd_7311;1973-12-30;Maria Cecília Souza;29784360187;Brasília;SP;SOFÁ;ROUPAS;WHATSAPP;;16363.62;4692.25;21663.83;0.96;Ana Liz Da Rocha;raquel97@example.org;+55 8110521624;
85;vnd_8429;2025-09-24;Ravy Da Mata;21938450779;Fortaleza;PE;SOFÁ;AUTOMOTIVO;WHATSAPP;19;46095.78;6244.74;54843.57;104.9;Francisco Castro;maria-alicecampos@example.org;+55 8102519122;2023-05-21
86;vnd_3856;1982-06-27;Isis Pereira;46758092194;Curitiba;BA;BICICLETA;BRINQUEDOS;APP;;22936.69;3365.89;54286.56;72.0;Olivia Gonçalves;ecamargo@example.net;+55 4118752027;2020-08-28
87;vnd_5064;2022-12-23;Gabrielly Almeida;29510634824;São Paulo;DF;BICICLETA;BELEZA;APP;;23128.72;3487.91;;109.1;Nicole Borges;fariasdavi-miguel@example.org;+55 1133937109;2023-10-13
88;vnd_4756;2008-12-17;Mariana Lopes;83927065447;Curitiba;SP;RELÓGIO;BELEZA;ONLINE;;34496.23;7388.79;55319.38;54.7;Eloah Moraes;montenegroana-carolina@example.org;+55 6137876425;2021-09-16
89;vnd_6919;2025-08-11;Ravi Lucca Borges;76431580966;Curitiba;DF;BONECA;BELEZA;WHATSAPP;6;39086.42;5666.7;;72.3;Lucca Caldeira;isabellynunes@example.com;+55 1139960299;2023-11-02
90;vnd_1315;1990-10-27;Yago Farias;35149072850;São Paulo;MG;RELÓGIO;BELEZA;TELEFONE;45;40215.16;7389.16;35819.27;1.13;Manuela Rezende;manuellarezende@example.com;+55 7176467022;2023-05-24
91;vnd_2377;2025-03-27;José Ribeiro;52819036406;Recife;PE;PERFUME;BRINQUEDOS;APP;48;27054.89;2657.74;;115.0;Pietra Da Costa;ccosta@example.com;+55 6118528595;2023-03-14
92;vnd_9893;1983-08-20;Nina Das Neves;98743016510;Recife;CE;BICICLETA;MÓVEIS;WHATSAPP;40;36935.64;5007.27;66556.11;95.2;Theo Cunha;da-conceicaovitoria@example.com;+55 3143465147;2025-05-23
93;vnd_1051;2024-02-19;Isabelly Das Neves;05719386475;Brasília;RJ;CAPACETE;ELETRÔNICO;TELEFONE;40;38533.78;3264.46;35870.35;1.17;Hellena Da Mota;kevinnovaes@example.org;+55 09004027490;
94;vnd_7117;2023-07-23;Fernando Da Costa;25910867377;Belo Horizonte;PR;BONECA;MÓVEIS;ONLINE;;39577.01;7661.13;;0.64;Joana Melo;nicolas73@@example.net;+55 03007179361;
95;vnd_4474;2025-04-25;Vitória Casa Grande;50689234198;Salvador;SP;SOFÁ;ESPORTE;APP;;32966.71;3469.2;;116.7;Dante Peixoto;ravy38@example.org;+55 6521407159;2025-04-06
96;vnd_1162;2022-11-28;Marcos Vinicius Machado;85019362433;Recife;CE;CAMISA;ROUPAS;ONLINE;;33098.41;1596.28;;0.76;Henrique Macedo;gabrielly35@example.com;+55 09008860744;
97;vnd_7536;1994-09-05;Lucca Costela;47920651352;Recife;SP;CAPACETE;ESPORTE;APP;27;26168.8;5243.24;;100.7;Maria Cecília Moraes;hellena29@example.net;+55 8174751731;
98;vnd_7625;2002-06-19;Ana Beatriz Da Luz;59671830439;Brasília;MG;PERFUME;BELEZA;TELEFONE;;40060.39;6455.4;50721.63;1.08;Pietra Pinto;mouraemanuel@@example.org;+55 1163130043;2024-12-29
99;vnd_2353;2023-12-23;Maria Luiza Gomes;34590168251;Belo Horizonte;RJ;BONECA;BELEZA;LOJA;;36583.14;5169.44;;86.3;Emilly Brito;luiz-gustavo49@example.org;+55 8145122245;2024-02-11
100;vnd_1163;1994-02-17;Eduardo Abreu;75893641000;Belo Horizonte;RJ;CAPACETE;ELETRÔNICO;APP;;24270.39;2407.22;31338.71;75.0;Caleb Costela;ramoscatarina@example.net;+55 5196788609;2024-04-23
101;vnd_2925;2025-05-31;Luna Andrade;24085173979;Brasília;PR;CAMISA;ROUPAS;TELEFONE;10;9638.66;7310.42;29438.26;0.58;Carolina Sales;ralbuquerque@@example.net;+55 6146281378;
102;vnd_5885;1989-07-20;Lucas Gabriel Sá;16789320512;Curitiba;SP;CAPACETE;MÓVEIS;WHATSAPP;50;24430.61;1968.42;24638.01;1.16;Olívia Monteiro;ojesus@example.net;+55 5146978458;
103;vnd_3809;2025-03-12;Pietro Costa;46257813964;Rio De Janeiro;SP;SOFÁ;MÓVEIS;ONLINE;;33605.91;3975.51;;110.0;Beatriz Sá;augustopacheco@example.org;+55 1140266863;2023-04-03
104;vnd_3441;2024-03-05;Gael Carvalho;42689703122;Salvador;BA;NOTEBOOK;BRINQUEDOS;WHATSAPP;27;32337.2;3831.91;30579.28;1.08;Caleb Montenegro;barbosahadassa@example.com;+55 4108454146;2020-05-16
105;vnd_4681;2025-05-01;Luara Melo;70629385130;Recife;MG;CAPACETE;MÓVEIS;WHATSAPP;42;5012.91;2772.63;;79.2;Júlia Carvalho;wda-costa@example.com;+55 5169667438;2022-01-10
106;vnd_5104;2023-07-20;Pietra Da Mata;18453296006;Belo Horizonte;DF;RELÓGIO;AUTOMOTIVO;ONLINE;19;41079.43;4712.6;41165.09;97.8;Heloisa Rodrigues;yasminpastor@example.org;+55 8476736373;2020-04-21
107;vnd_1792;2025-10-12;Mathias Santos;25013864933;Curitiba;PR;BICICLETA;BRINQUEDOS;TELEFONE;32;42286.74;7605.51;;0.57;Hadassa Costa;caldeiraluiz-felipe@example.net;+55 6180485076;2023-06-22
108;vnd_8150;2025-03-06;Beatriz Rocha;71632548062;Fortaleza;PE;BICICLETA;BELEZA;WHATSAPP;;36476.31;5639.03;;119.0;Carolina Moura;isaac97@example.com;+55 9133068261;2023-06-19
109;vnd_7493;2023-11-25;Otto Melo;38725609483;Curitiba;SP;RELÓGIO;BELEZA;APP;50;47302.24;4604.29;51313.98;76.7;Mathias Garcia;isaque31@example.org;+55 3117724907;
110;vnd_3450;2009-01-08;Luara Moreira;16805972302;Rio De Janeiro;RJ;PERFUME;AUTOMOTIVO;LOJA;19;28680.9;3952.94;50541.78;94.7;Maria Cecília;ravi-lucca03@example.org;+55 5075090536;2020-08-15
111;vnd_5412;2023-11-03;Luiz Otávio Barros;57430692125;Belo Horizonte;PE;TV;BRINQUEDOS;LOJA;47;15608.14;5428.11;;0.57;Pedro Miguel Pimenta;brenosouza@example.net;+55 3175352737;2023-08-27
112;vnd_3036;2024-07-28;Murilo Casa Grande;50721984304;Fortaleza;CE;PERFUME;AUTOMOTIVO;APP;25;6725.41;7828.77;26909.56;0.71;Gustavo Henrique Moura;salesheloisa@example.net;+55 6132429468;
113;vnd_1714;2024-10-26;Oliver Da Cruz;27645380144;Salvador;SP;NOTEBOOK;ELETRÔNICO;WHATSAPP;;370.96;3861.2;;1.13;Amanda;maria-vitoriacavalcanti@example.net;+55 5142297721;2020-12-26
114;vnd_3103;2022-08-31;Rafael Siqueira;85162437026;Fortaleza;BA;TV;BRINQUEDOS;WHATSAPP;21;4329.02;5206.99;47398.51;112.4;Maysa Cavalcante;cda-rosa@example.com;+55 05009601860;
115;vnd_2947;2025-09-14;Isabela Da Luz;25731460817;Brasília;DF;TV;ELETRÔNICO;APP;;14480.11;5801.26;31394.51;0.77;Carolina;matteo37@@example.org;+55 6170734898;
116;vnd_4452;2024-08-15;Murilo Macedo;20574369856;Salvador;RJ;SOFÁ;AUTOMOTIVO;ONLINE;;20904.19;7687.83;40098.08;0.68;Maysa Carvalho;laisferreira@example.net;+55 5194727728;2023-10-31
117;vnd_9087;2025-06-09;Dom Silveira;39175240661;Belo Horizonte;DF;RELÓGIO;AUTOMOTIVO;TELEFONE;;33595.89;3373.69;;54.8;Arthur Gabriel Da Cruz;otavio76@example.com;+55 1111040440;2024-12-21
118;vnd_1434;2023-09-04;Lorena Monteiro;94817053666;Brasília;BA;RELÓGIO;BRINQUEDOS;APP;;26397.69;2159.79;60401.75;1.01;Arthur Gabriel;leticiadias@example.net;+55 1555798909;2022-11-08
119;vnd_4942;2006-02-23;Caroline Nascimento;52739146043;Recife;SP;BONECA;BRINQUEDOS;LOJA;;10215.17;7033.4;51115.44;0.95;Calebe Santos;camila81@example.com;+55 5145483900;2024-09-01
